dataset,metric,system_a,method_a,system_b,method_b,mean_diff,ci95_half_width,ci_low_normal,ci_high_normal,wins,ties,losses,n
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,spectral_hier,Spectral,0.15428298711572722,0.01819526754100825,0.13608771957471896,0.17247825465673547,25,0,0,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,stat_spectral_hier,Stat.+spectral,0.09314821126186129,0.02412203348529099,0.0690261777765703,0.11727024474715228,23,0,2,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,tuned_tcn_ae_hier,Tuned TCN-AE,0.04573891751835424,0.020559466122307996,0.025179451396046243,0.06629838364066223,19,0,6,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,tuned_usad_ae_hier,Tuned USAD-like AE,0.2121642050301903,0.03116818690839359,0.1809960181217967,0.2433323919385839,25,0,0,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,gru_ae_hier,GRU-AE,0.24831929789604174,0.0257543432097262,0.22256495468631554,0.27407364110576793,25,0,0,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,diagnostic_signature_only_hier,HRA-Core signature,-0.008578128426718902,0.014484047389629742,-0.023062175816348646,0.005905918962910839,9,0,16,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,residual_summaries_only_hier,Residual summaries,-0.007083489425615211,0.015284253570426856,-0.022367742996042068,0.008200764144811645,10,0,15,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,attribution_scores_only_hier,Attribution scores,0.2563201243581839,0.03072984835185134,0.22559027600633258,0.28704997271003524,25,0,0,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,indices_only_hier,Indices only,0.155780187434085,0.023907444428713245,0.13187274300537177,0.17968763186279824,25,0,0,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,hra_plus_spectral_flat,HRA+spectral flat,0.007388517404276877,0.010378007220620891,-0.0029894898163440138,0.017766524624897768,15,0,10,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,statistical_flat,Statistical flat,0.17340896949944362,0.03259210823593879,0.14081686126350484,0.2060010777353824,24,0,1,25
air_quality,source_group_macro_f1,hra_plus_spectral_hier,HRA+spectral,spectral_flat,Spectral flat,0.14393068625500588,0.016076546739461565,0.1278541395155443,0.16000723299446745,25,0,0,25
