dataset,method,cells,n,mean_top1,mean_top2,mean_mrr,mean_rank,method_label
air_quality,supervised_channel_ae_only_hgb,25,8750,0.6518857142857142,0.8204571428571428,0.7833608198165893,1.7354285621643066,AE-only HGB
air_quality,supervised_channel_hra_ae_hgb,25,8750,0.7147428571428571,0.8494857142857143,0.8219183778762817,1.5996571445465089,HRA-SL (HGB)
synthetic,supervised_channel_ae_only_hgb,25,8750,0.9184,0.9573714285714285,0.9490839552879333,1.1739428567886352,AE-only HGB
synthetic,supervised_channel_hra_ae_hgb,25,8750,0.9156571428571428,0.9642285714285714,0.9498677659034729,1.1504000091552735,HRA-SL (HGB)
uci_har,supervised_channel_ae_only_hgb,25,8750,0.7156571428571428,0.8144,0.8121923732757569,1.695085711479187,AE-only HGB
uci_har,supervised_channel_hra_ae_hgb,25,8750,0.7140571428571428,0.8182857142857142,0.8118209600448608,1.6956571388244628,HRA-SL (HGB)
